,DP_t2
8,0.00048
9,0.00052
10,0.00063
11,0.00078
12,0.00084
13,0.00095
14,0.00094
15,0.00088
16,0.00097
17,0.00063
18,0.00064
19,0.00066
20,0.00074
21,0.00078
22,0.00082
23,0.00082
24,0.00089
25,0.00093
26,0.00097
27,0.00178
28,0.00179
29,0.00187
30,0.00124
31,0.00113
32,0.00116
33,0.00121
34,0.0012
35,0.00122
36,0.00124
37,0.00126
38,0.00129
39,0.00132
40,0.00142
41,0.0014
42,0.00146
43,0.00148
44,0.00153
45,0.00154
46,0.00161
47,0.0016
48,0.00165
49,0.00169
50,0.00196
51,0.0018
52,0.00179
53,0.00177
54,0.00183
55,0.00184
56,0.00258
57,0.00204
58,0.00199
59,0.00207
60,0.00267
61,0.00224
62,0.00368
63,0.0022
64,0.00222
65,0.00223
66,0.00229
67,0.00239
68,0.0024
69,0.00251
70,0.00254
71,0.00253
72,0.00261
73,0.00264
74,0.00264
75,0.00267
76,0.00275
77,0.00281
78,0.00283
79,0.00282
80,0.00295
81,0.0029
82,0.00298
83,0.00517
84,0.00518
85,0.00309
86,0.00313
87,0.00318
88,0.00316
89,0.0032
90,0.00333
91,0.00336
92,0.0033
93,0.00351
94,0.00343
95,0.00351
96,0.00494
97,0.00361
98,0.00359
99,0.00357
100,0.00359
101,0.00365
102,0.00608
103,0.00691
104,0.00461
105,0.00384
106,0.00376
107,0.00382
108,0.00384
109,0.00389
110,0.00443
111,0.00488
112,0.00471
113,0.00403
114,0.00403
115,0.00406
116,0.00428
117,0.00421
118,0.00421
119,0.00425
120,0.00442
121,0.00436
122,0.00433
123,0.00447
124,0.00446
125,0.00618
126,0.00447
127,0.00443
128,0.0045
129,0.00452
130,0.00507
131,0.00645
132,0.00779
133,0.00474
134,0.00468
135,0.0048
136,0.00476
137,0.0049
138,0.00487
139,0.005
140,0.00497
141,0.005
142,0.00563
143,0.00543
144,0.0052
145,0.00542
146,0.00845
147,0.00611
148,0.00596
149,0.00745
150,0.00549
