,R_t1
8,3e-05
9,3e-05
10,3e-05
11,3e-05
12,5e-05
13,5e-05
14,6e-05
15,5e-05
16,5e-05
17,5e-05
18,5e-05
19,5e-05
20,7e-05
21,0.00011
22,0.00012
23,0.00011
24,0.00016
25,0.00018
26,0.00024
27,0.00025
28,0.00023
29,0.00026
30,0.00026
31,0.00029
32,0.00184
33,0.00027
34,0.00027
35,0.00026
36,0.00065
37,0.00036
38,0.00026
39,0.00041
40,0.00033
41,0.00048
42,0.00033
43,0.00024
44,0.00027
45,0.00024
46,0.00021
47,0.00027
48,0.00021
49,0.00021
50,0.00025
51,0.00025
52,0.00026
53,0.00027
54,0.00026
55,0.00029
56,0.00028
57,0.00033
58,0.00031
59,0.00031
60,0.00034
61,0.00032
62,0.00034
63,0.00034
64,0.00041
65,0.00075
66,0.0006
67,0.00077
68,0.00059
69,0.0008
70,0.00068
71,0.00065
72,0.00124
73,0.00115
74,0.00066
75,0.00065
76,0.00068
77,0.00069
78,0.00082
79,0.00072
80,0.00073
81,0.00068
82,0.00071
83,0.00073
84,0.00067
85,0.0008
86,0.00085
87,0.00083
88,0.00089
89,0.00085
90,0.00086
91,0.00091
92,0.00089
93,0.0009
94,0.00091
95,0.00101
96,0.00187
97,0.00327
98,0.00223
99,0.00179
100,0.00191
101,0.00217
102,0.00204
103,0.00171
104,0.00113
105,0.00118
106,0.00112
107,0.00113
108,0.0011
109,0.00118
110,0.00128
111,0.0013
112,0.0013
113,0.00134
114,0.00134
115,0.00134
116,0.00139
117,0.0016
118,0.00162
119,0.00161
120,0.00162
121,0.00191
122,0.00196
123,0.00203
124,0.00313
125,0.00313
126,0.00308
127,0.00388
128,0.00299
129,0.00208
130,0.00208
131,0.00201
132,0.00196
133,0.00199
134,0.00224
135,0.00232
136,0.00224
137,0.00235
138,0.00243
139,0.00255
140,0.00481
141,0.00361
142,0.00259
143,0.00257
144,0.00255
145,0.00254
146,0.00277
147,0.00255
148,0.00256
149,0.00251
150,0.00251
151,0.00272
152,0.00331
153,0.00318
154,0.00326
155,0.00338
156,0.00333
157,0.00336
158,0.00335
159,0.00335
160,0.0034
161,0.00369
162,0.00354
163,0.00348
164,0.00353
165,0.00337
166,0.00431
167,0.0045
168,0.0034
169,0.00343
170,0.00344
171,0.00343
172,0.00343
173,0.00351
174,0.00372
175,0.00383
176,0.0038
177,0.00352
178,0.00373
179,0.00365
180,0.0036
181,0.0036
182,0.00361
183,0.00361
184,0.00373
185,0.00714
186,0.00417
187,0.00373
188,0.0037
189,0.00386
190,0.00389
191,0.00374
192,0.0038
193,0.00381
194,0.00382
195,0.00379
196,0.00376
197,0.00402
198,0.00398
199,0.00393
200,0.00629
201,0.00448
202,0.00455
203,0.0046
204,0.00738
205,0.00456
206,0.00471
207,0.00466
208,0.00608
209,0.005
210,0.00503
211,0.00496
212,0.00531
213,0.00918
214,0.00889
215,0.00826
216,0.00643
217,0.00635
218,0.0061
219,0.00629
220,0.00673
221,0.00708
222,0.00732
223,0.00729
224,0.01154
225,0.00742
226,0.0083
227,0.00739
228,0.00946
229,0.0115
230,0.00901
231,0.00939
232,0.00877
233,0.01335
234,0.00919
235,0.00914
236,0.00989
237,0.01155
238,0.01016
239,0.01315
240,0.0101
241,0.01024
242,0.01025
243,0.01037
244,0.01366
245,0.01129
246,0.01067
247,0.0113
248,0.01127
249,0.01362
250,0.01132
251,0.01123
252,0.01073
253,0.01117
254,0.01371
255,0.01615
256,0.01504
257,0.01331
258,0.01298
259,0.01413
260,0.01447
261,0.0135
262,0.01576
263,0.02055
264,0.02216
265,0.01555
266,0.01552
267,0.01355
268,0.01347
269,0.01549
270,0.02394
271,0.01408
272,0.01551
273,0.0158
274,0.01608
275,0.01602
276,0.01993
277,0.0165
278,0.0165
279,0.01608
280,0.01724
281,0.0163
282,0.01623
283,0.01706
284,0.0185
285,0.01904
286,0.01609
287,0.01648
288,0.01697
289,0.019
290,0.01761
291,0.01681
292,0.01645
293,0.01631
294,0.01654
295,0.01905
296,0.01629
297,0.01669
298,0.01913
299,0.01704
300,0.01631
301,0.0167
302,0.01975
303,0.01657
304,0.01667
305,0.01759
306,0.01865
307,0.01633
308,0.01778
309,0.01758
310,0.02091
311,0.02364
312,0.02059
313,0.02142
314,0.02355
315,0.02583
316,0.02142
317,0.02122
318,0.02111
319,0.02873
320,0.02565
321,0.02759
322,0.02958
323,0.03466
324,0.02823
325,0.03136
326,0.03675
327,0.03329
328,0.0317
329,0.0339
330,0.03201
331,0.03432
332,0.03141
333,0.03157
334,0.03172
335,0.03236
336,0.04069
337,0.03316
338,0.03401
339,0.03257
340,0.03299
341,0.03349
342,0.03498
343,0.03894
344,0.0361
345,0.03422
346,0.03408
347,0.03955
348,0.03892
349,0.04768
350,0.046
